nome,id_lattes_16,url_lattes,vinculo,fonte_id
Ana Rodrigues Cavalcanti Alves,6506286038414113,http://lattes.cnpq.br/6506286038414113,permanente,site PPGCS
Antônio da Silva Câmara,4868229187967997,http://lattes.cnpq.br/4868229187967997,permanente,site Sociologia UFBA
Bruno Costa Barreiros,5274872727972308,http://lattes.cnpq.br/5274872727972308,permanente,site PPGCS
Clóvis Roberto Zimmermann,7132903863839824,http://lattes.cnpq.br/7132903863839824,permanente,site PPGCS
Débora Previatti,0212366491733548,http://lattes.cnpq.br/0212366491733548,permanente,site PPGCS
Felipe Vargas,6150854485177629,http://lattes.cnpq.br/6150854485177629,permanente,site PPGCS
Iara Maria de Almeida Souza,1266626414413147,http://lattes.cnpq.br/1266626414413147,permanente,site PPGCS
Jair Batista da Silva,7967150503062793,http://lattes.cnpq.br/7967150503062793,permanente,página institucional CRH/UFBA
Julio Souto Salom,8500045280840862,http://lattes.cnpq.br/8500045280840862,permanente,site PPGCS
Leandro de Paula Santos,3833811692758640,http://lattes.cnpq.br/3833811692758640,permanente,site PPGCS
Leonardo Fernandes Nascimento,7141811368487014,http://lattes.cnpq.br/7141811368487014,permanente,leofn.com/cv
Lucas Amaral de Oliveira,0974813858531390,http://lattes.cnpq.br/0974813858531390,permanente,site PPGCS
Luiz Claudio Lourenço,9249653080596163,http://lattes.cnpq.br/9249653080596163,permanente,site Sociologia UFBA
Maria Gabriela Hita,2408407341179334,http://lattes.cnpq.br/2408407341179334,permanente,site Sociologia UFBA
Maria Rosário Gonçalves de Carvalho,1298757533709756,http://lattes.cnpq.br/1298757533709756,permanente,Licenciatura Intercultural Indígena UFBA
Mariana Aparecida dos Santos Panta,1563910977768814,http://lattes.cnpq.br/1563910977768814,permanente,site PPGCS
Mariana Thorstensen Possas,7470966694138044,http://lattes.cnpq.br/7470966694138044,permanente,site Sociologia UFBA
Miriam Cristina Marcilio Rabelo,7239267596119717,http://lattes.cnpq.br/7239267596119717,permanente,site Sociologia UFBA
Paula Cristina da Silva,3865670491591815,http://lattes.cnpq.br/3865670491591815,permanente,site Sociologia UFBA
Paulo César Borges Alves,4053383742253379,http://lattes.cnpq.br/4053383742253379,permanente,site Sociologia UFBA
Rafael de Aguiar Arantes,9187555671886787,http://lattes.cnpq.br/9187555671886787,permanente,site PPGCS
Ricardo Pagliuso Regatieri,3077741187299322,http://lattes.cnpq.br/3077741187299322,permanente,site PPGCS
Sue Angélica Serra Iamamoto,4927287864728189,http://lattes.cnpq.br/4927287864728189,permanente,site PPGCS
